file,i,j,compressed,num_pages,input_bytes_plain,input_bytes_hybrid,output_bytes_plain,output_bytes_hybrid,num_values_plain,num_values_hybrid,time
/dev/shm/with_compression/parquet-3/lineitem.parquet,11,6,1,2,69,526409,0,8388608,0,1048576,799
/dev/shm/with_compression/parquet-3/lineitem.parquet,12,6,1,2,67,526409,0,8388608,0,1048576,800
/dev/shm/with_compression/parquet-3/lineitem.parquet,13,6,1,2,70,526409,0,8388608,0,1048576,801
/dev/shm/with_compression/parquet-3/lineitem.parquet,14,6,1,2,75,526409,0,8388608,0,1048576,799
/dev/shm/with_compression/parquet-3/lineitem.parquet,15,6,1,2,65,526409,0,8388608,0,1048576,800
/dev/shm/with_compression/parquet-3/lineitem.parquet,16,6,1,2,72,526409,0,8388608,0,1048576,799
/dev/shm/with_compression/parquet-3/lineitem.parquet,17,6,1,2,69,85769,0,1366536,0,170817,204
/dev/shm/with_compression/parquet-3/lineitem.parquet,0,7,1,2,57,526409,0,8388608,0,1048576,805
/dev/shm/with_compression/parquet-3/lineitem.parquet,1,7,1,2,58,526409,0,8388608,0,1048576,805
/dev/shm/with_compression/parquet-3/lineitem.parquet,2,7,1,2,56,526409,0,8388608,0,1048576,807
/dev/shm/with_compression/parquet-3/lineitem.parquet,3,7,1,2,54,526409,0,8388608,0,1048576,806
/dev/shm/with_compression/parquet-3/lineitem.parquet,4,7,1,2,54,526409,0,8388608,0,1048576,807
/dev/shm/with_compression/parquet-3/lineitem.parquet,5,7,1,2,54,526409,0,8388608,0,1048576,806
/dev/shm/with_compression/parquet-3/lineitem.parquet,6,7,1,2,56,526409,0,8388608,0,1048576,808
/dev/shm/with_compression/parquet-3/lineitem.parquet,7,7,1,2,60,526409,0,8388608,0,1048576,810
/dev/shm/with_compression/parquet-3/lineitem.parquet,8,7,1,2,57,526409,0,8388608,0,1048576,807
/dev/shm/with_compression/parquet-3/lineitem.parquet,9,7,1,2,54,526409,0,8388608,0,1048576,813
/dev/shm/with_compression/parquet-3/lineitem.parquet,10,7,1,2,55,526409,0,8388608,0,1048576,805
/dev/shm/with_compression/parquet-3/lineitem.parquet,11,7,1,2,56,526409,0,8388608,0,1048576,809
/dev/shm/with_compression/parquet-3/lineitem.parquet,12,7,1,2,55,526409,0,8388608,0,1048576,840
